13 -60 -14
9 0 0
86 -61 -96
-84 -80 39
-31 92 47
-7 -61 62
-69 -68 79
-7 -46 28
64 -80 13
62 33 -8
33 65 -97
46 61 34
-90 -74 -67
-58 78 35
85 25 -86
76 94 54
32 33 -73
83 -91 -24
-100 18 -83
4 -9 83
84 61 -51
52 26 -29
-7 -11 -69
-52 -47 -68
87 -49 83
-40 -68 72
23 -11 -14
57 43 40
-14 90 91
-98 12 -57
24 61 85
1 -55 83
-30 -80 -72
11 -90 -82
-77 -53 -46
-75 -16 26
-39 43 11
84 90 75
4 94 -44
42 -16 76
-89 27 47
-13 0 -54
78 -44 -24
-6 54 51
85 -75 14
36 -37 10
-75 5 71
42 3 -37
-6 -74 17
97 94 86
67 64 91
-74 -15 2
17 3 84
78 -49 26
-57 26 -56
-66 19 -80
54 -91 93
58 -90 -11
-4 -36 -34
25 53 -74
94 11 60
-49 2 -68
29 92 62
10 2 -5
95 34 -83
10 9 -84
-47 -31 -22
97 0 70
45 44 69
74 -38 11
-71 -50 52
6 -53 11
62 74 26
-57 37 -68
-92 16 -2
-97 12 -76
60 -59 39
-74 -80 54
19 -94 54
61 -82 -10
35 17 70
-68 -56 -70
26 56 44
92 -75 94
99 -44 -11
64 -56 -30
2 97 17
-63 28 63
89 65 83
27 9 63
92 -65 23
-12 77 3
-65 86 -7
12 -89 55
-54 -63 -27
81 -95 -48
-8 -63 6
-89 -58 -97
-49 -26 38
-64 26 31
